engagement,contempt
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
0.1766,0.1543
0.0847,0.1865
0.0828,0.1913
0.0855,0.1934
0.09,0.1957
0.0983,0.1992
0.1011,0.2022
0.1045,0.2045
0.0978,0.2011
0.0976,0.2013
0.095,0.1996
0.0962,0.1996
0.0977,0.2
0.0954,0.1983
0.0988,0.198
0.1079,0.1984
0.108,0.1984
0.1141,0.1973
0.1222,0.1974
0.1248,0.1979
0.1304,0.1967
0.1224,0.1967
0.1393,0.1969
0.1329,0.1972
0.1361,0.1997
0.1529,0.2027
0.1504,0.2006
0.1608,0.1998
0.1441,0.1985
0.1309,0.1975
0.1289,0.1948
0.1462,0.1923
0.146,0.1906
0.2011,0.186
0.1759,0.1829
0.1899,0.1818
0.1614,0.1783
0.1383,0.1726
0.1239,0.1711
0.1078,0.1665
0.1123,0.1624
0.1104,0.1642
0.1218,0.156
0.1388,0.1454
0.1562,0.1367
0.1985,0.1207
0.2409,0.109
0.3193,0.0939
0.4677,0.0768
0.5716,0.0691
0.798,0.075
1.0101,0.0712
3.1319,0.0588
5.4768,0.0473
6.405,0.0446
13.3771,0.0458
24.4458,0.0444
20.6678,0.042
15.7828,0.0388
8.6463,0.037
5.8051,0.046
3.2927,0.0465
1.6394,0.0449
1.2856,0.0453
1.6266,0.0399
2.5658,0.0312
2.6611,0.0305
2.0273,0.0353
1.1893,0.0469
1.1648,0.0474
1.0842,0.0492
1.5029,0.0413
1.9401,0.036
1.7365,0.0381
2.379,0.0322
2.6916,0.0301
1.1724,0.047
0.7758,0.0583
0.5438,0.0703
0.4001,0.0826
0.3746,0.0855
0.3693,0.0861
0.4048,0.0819
0.4376,0.0786
0.7012,0.0613
0.8856,0.0541
1.2016,0.046
1.8312,0.0368
2.234,0.0331
2.4585,0.0314
15.0376,0.0277
30.2942,0.0176
29.9276,0.0097
39.8513,0.0076
46.1511,0.0053
54.7624,0.0041
56.2046,0.004
71.9819,0.0028
74.3605,0.0026
81.1335,0.0021
91.0315,0.0013
96.147,0.0008
98.3592,0.0005
98.9469,0.0004
99.1783,0.0004
99.2145,0.0004
99.1987,0.0004
99.126,0.0004
99.121,0.0004
98.8306,0.0004
98.5328,0.0005
96.9104,0.0007
93.4503,0.0011
85.3674,0.0018
66.6932,0.0032
40.142,0.0056
16.8441,0.0105
5.953,0.0194
2.0039,0.0351
1.3473,0.0433
0.7398,0.0595
0.4418,0.0782
0.3949,0.0829
0.3188,0.0929
0.3075,0.0946
0.2741,0.1005
0.2381,0.1083
0.2232,0.112
0.2616,0.1186
0.3564,0.1176
0.2842,0.1191
0.3425,0.1189
0.3343,0.1187
0.3559,0.1135
0.3408,0.106
0.3574,0.0875
0.6149,0.0658
0.8775,0.0545
1.4375,0.0419
2.3758,0.032
4.009,0.0241
11.3542,0.0134
24.5318,0.0082
25.0248,0.0081
42.975,0.0053
62.3441,0.0035
62.1829,0.0035
72.7326,0.0027
73.5227,0.0027
59.8981,0.0037
55.1516,0.0041
54.3738,0.0042
60.7255,0.0036
38.2562,0.0059
18.954,0.0098
8.062,0.0164
2.9944,0.0283
1.1287,0.0478
0.4878,0.0745
0.3024,0.0959
