engagement,contempt
3.1965,3.1896
0.0971,0.1993
,
,
,
,
,
,
,
,
,
,
,
,
,
3.4196,0.2349
,
,
,
,
,
,
,
,
,
,
,
0.081,0.1958
0.0863,0.1943
,
,
,
,
,
,
,
,
,
,
,
0.0911,0.1935
0.0855,0.193
0.1498,0.1928
0.1775,0.1933
0.2492,0.1936
0.5868,0.1941
0.7986,0.1948
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
0.0857,0.1849
,
,
,
,
,
,
,
,
,
,
,
,
49.7289,0.2481
2.2242,0.2071
0.2742,0.2
0.0918,0.1971
0.1052,0.1937
0.1303,0.1934
0.1596,0.1932
0.1262,0.1929
0.1276,0.1932
0.1099,0.1932
0.1121,0.1932
0.1031,0.1932
0.1098,0.1932
0.193,0.1932
0.1743,0.1931
0.1301,0.193
0.1481,0.1929
0.1669,0.1929
0.1497,0.1929
0.1536,0.1929
0.1672,0.1929
0.1668,0.193
0.1543,0.1931
0.1403,0.1932
0.2235,0.1934
0.3708,0.1934
0.411,0.1936
0.3867,0.1936
0.4401,0.1938
0.6502,0.1936
0.7302,0.1938
0.5551,0.1939
0.6116,0.194
0.4947,0.1943
0.5803,0.1944
1.0789,0.1942
0.9979,0.1938
0.7798,0.1937
1.4925,0.1936
1.1223,0.1938
1.3147,0.1936
1.2996,0.1936
4.026,0.1933
1.5673,0.1935
1.1382,0.1935
1.2,0.1935
2.7753,0.1931
2.8099,0.1931
1.818,0.1931
1.5227,0.1931
0.9111,0.1933
0.8953,0.1933
0.8125,0.1932
0.5054,0.1932
0.3227,0.1932
0.3138,0.1932
0.3113,0.1932
0.4119,0.1932
0.3062,0.1933
0.2072,0.1933
0.1858,0.1936
0.182,0.1935
0.1355,0.1937
0.111,0.1944
0.109,0.1953
0.0956,0.1948
0.0932,0.1952
0.0938,0.1947
0.0962,0.1942
0.0937,0.194
0.0908,0.1941
0.0903,0.1939
0.0992,0.1939
0.1036,0.1935
0.127,0.1933
0.097,0.1932
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
0.0844,0.4306
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
6.6472,92.6952
0.2576,0.6384
0.0832,0.1939
0.0815,0.1924
0.0955,0.1925
0.0935,0.1927
0.09,0.1927
0.0976,0.1928
0.1179,0.1929
0.0995,0.1929
0.0918,0.1932
0.0981,0.1937
0.1081,0.195
0.1209,0.1957
0.151,0.1966
0.1559,0.1954
0.1582,0.1953
0.135,0.1952
0.1604,0.1948
0.1764,0.1947
0.1971,0.1944
,
0.1191,0.1939
0.1043,0.1936
0.0,0.0
0.0955,0.1941
0.0,0.0
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
28.699,7.2105
25.5549,96.4862
0.3987,1.3578
0.1642,0.1978
0.2492,0.1942
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
56.7361,0.1945
5.9832,0.2212
1.0927,87.1198
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
96.5695,97.7545
0.1241,0.1878
0.1782,0.1873
0.1539,0.1944
0.1515,0.1944
0.1414,0.1942
0.0853,0.193
0.0831,0.193
0.0807,0.1929
0.0796,0.1929
0.0796,0.1928
0.0796,0.1928
0.0794,0.1927
0.0796,0.1927
0.0803,0.1928
,
0.6324,0.1498
0.0857,0.1931
0.0963,0.1909
0.1833,0.1923
0.1537,0.1929
0.8754,0.1929
0.475,0.193
0.5854,0.193
0.3207,0.193
0.4102,0.193
0.203,0.193
0.2464,0.193
0.1457,0.193
0.1253,0.1929
0.115,0.1929
0.1343,0.1929
0.1291,0.1928
0.1725,0.1928
0.1343,0.1928
0.1733,0.1928
0.1275,0.1928
0.1112,0.1928
0.0993,0.1928
0.0908,0.1928
0.0973,0.1928
0.104,0.1928
0.1099,0.1928
0.1053,0.1928
0.1352,0.1929
0.156,0.1929
0.1653,0.1929
0.1685,0.1928
0.1473,0.1928
0.173,0.1929
0.16,0.1929
0.17,0.1928
0.1511,0.1928
0.1344,0.1928
0.123,0.1928
0.1585,0.1928
0.1608,0.1928
0.1236,0.1928
0.1407,0.1928
0.1186,0.1928
0.1295,0.1929
0.123,0.1929
0.1245,0.1929
0.1426,0.1929
0.1328,0.1929
0.1369,0.1929
0.1493,0.1928
0.1988,0.1929
0.1987,0.1928
0.2056,0.1928
0.2174,0.1928
0.5006,0.1928
0.5681,0.1928
0.6765,0.1928
0.5849,0.1928
0.592,0.1928
0.4983,0.1927
0.7118,0.1927
0.6656,0.1927
0.6296,0.1927
0.5248,0.1927
0.4018,0.1927
0.3685,0.1927
0.5201,0.1927
0.5489,0.1927
0.4384,0.1927
0.2223,0.1927
0.2367,0.1927
0.2627,0.1927
0.2402,0.1927
0.2353,0.1927
0.2301,0.1927
0.2134,0.1927
0.1927,0.1927
0.1691,0.1927
0.1372,0.1927
0.1136,0.1927
0.1136,0.1927
0.1375,0.1927
0.1435,0.1927
0.1187,0.1927
0.1091,0.1927
0.0907,0.1927
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
0.0835,0.7928
0.1253,0.2074
0.0932,0.1949
0.0809,0.193
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
10.3822,0.2965
16.0718,0.1955
19.4234,0.1952
45.7972,0.1943
46.793,0.1943
48.7764,0.1937
47.5311,0.1934
48.6036,0.1932
38.612,0.1932
30.9692,0.1932
0.0,0.0
0.0,0.0
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
0.0807,0.2008
0.0801,0.193
0.0812,0.1929
0.0873,0.1931
,
,
,
,
,
,
,
,
0.086,0.1936
0.0854,0.1935
0.0871,0.1935
0.0872,0.1931
0.0829,0.193
0.0862,0.1928
0.0855,0.1928
0.085,0.1928
0.0839,0.1929
0.0861,0.1929
0.0894,0.1928
0.0951,0.1929
0.0964,0.1929
0.1331,0.1931
0.1353,0.1932
0.1256,0.1936
0.1397,0.1934
0.1192,0.1932
0.1278,0.1931
0.1105,0.1929
0.1091,0.1929
0.0,0.0
,
0.1074,0.1929
,
,
,
,
,
,
,
,
,
,
,
,
11.4936,0.1932
0.2695,0.1928
0.0941,0.1932
0.0824,0.1932
0.0838,0.1939
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
